p,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.081,7.7,6.69E-15,2.51E-14,8.17E-24,2.11E-17
0.081,7.85,-4.38E-16,6.02E-16,1.05E-24,6.11E-18
0.081,8,1.60E-14,7.17E-14,-5.30E-21,-1.67E-15
0.101,0.5,-2.08E-12,-3.62E-22,9.05E-12,-2.46E-10
0.101,0.65,7.30E-11,-6.50E-14,5.65E-12,1.72E-09
0.101,0.8,4.34E-13,-7.97E-11,-3.39E-12,4.45E-10
0.101,0.95,-2.78E-13,4.82E-10,3.56E-14,-3.68E-09
0.101,1.1,-2.18E-16,-2.19E-11,-5.81E-17,1.14E-10
0.101,1.25,-2.76E-13,-2.14E-12,4.54E-16,1.92E-11
0.101,1.4,1.30E-13,5.96E-11,-8.95E-16,-3.17E-10
0.101,1.55,5.63E-13,4.02E-12,-9.20E-16,3.61E-14
0.101,1.7,-3.37E-11,-1.62E-10,-9.21E-18,1.60E-14
0.101,1.85,-3.18E-15,-1.22E-10,6.74E-23,6.44E-10
0.101,2,1.05E-11,3.44E-11,-5.81E-18,7.11E-12
0.101,2.15,-3.16E-10,-8.95E-10,-1.13E-15,-2.70E-13
0.101,2.3,6.52E-12,2.00E-11,1.80E-17,5.25E-15
0.101,2.45,1.35E-12,4.83E-12,-8.08E-20,-8.51E-15
0.101,2.6,-2.73E-13,-1.26E-12,6.24E-19,3.24E-13
0.101,2.75,7.07E-13,2.91E-12,-2.05E-17,8.01E-16
0.101,2.9,5.37E-15,-7.70E-12,-1.50E-18,2.75E-11
0.101,3.05,5.08E-13,3.60E-13,-2.65E-18,-6.48E-17
0.101,3.2,3.60E-12,1.02E-11,-2.48E-18,8.81E-16
0.101,3.35,1.99E-12,7.92E-12,2.08E-17,1.34E-16
0.101,3.5,4.59E-12,8.49E-12,-6.90E-19,-1.43E-13
0.101,3.65,4.91E-12,1.14E-11,3.53E-17,1.27E-15
0.101,3.8,1.17E-12,1.52E-12,-1.07E-17,-6.25E-17
0.101,3.95,5.86E-15,1.89E-14,-1.28E-21,-2.05E-20
0.101,4.1,7.07E-14,4.51E-13,-1.96E-20,-2.85E-14
0.101,4.25,-2.86E-10,-8.44E-10,-1.68E-15,-6.02E-15
0.101,4.4,-3.70E-13,-2.03E-12,3.84E-20,9.43E-16
0.101,4.55,-5.23E-12,-5.36E-12,-2.07E-16,-3.07E-16
0.101,4.7,2.40E-10,5.02E-10,-7.19E-15,1.55E-14
0.101,4.85,3.17E-12,9.91E-12,5.93E-17,2.41E-16
0.101,5,-4.49E-12,-1.24E-11,2.92E-17,9.65E-17
0.101,5.15,-1.16E-10,-1.50E-10,2.89E-17,9.11E-17
0.101,5.3,-8.79E-13,-2.99E-12,1.27E-17,3.36E-17
0.101,5.45,5.71E-14,2.14E-13,-4.83E-24,-4.67E-16
0.101,5.6,-5.37E-14,-2.47E-13,-1.46E-18,-4.41E-17
0.101,5.75,1.06E-14,3.80E-14,-1.41E-17,-3.66E-17
0.101,5.9,-3.56E-14,-9.15E-14,-3.25E-18,-1.59E-15
0.101,6.05,-5.66E-14,-2.35E-13,-2.21E-22,1.20E-14
0.101,6.2,3.02E-14,3.78E-12,-3.79E-20,-3.26E-11
0.101,6.35,2.24E-15,-1.18E-12,3.76E-25,1.11E-11
0.101,6.5,2.92E-15,-2.27E-14,1.49E-24,3.22E-15
0.101,6.65,9.14E-14,1.03E-13,-6.79E-20,2.30E-15
0.101,6.8,1.82E-13,4.51E-13,9.81E-20,2.32E-19
0.101,6.95,-2.49E-14,-8.43E-14,-8.10E-21,6.28E-18
0.101,7.1,7.54E-14,1.69E-13,-1.09E-19,-4.06E-19
0.101,7.25,6.41E-12,3.92E-12,-2.79E-21,-9.52E-20
0.101,7.4,2.77E-14,8.17E-14,-3.80E-24,4.34E-20
0.101,7.55,-1.09E-15,-4.03E-13,4.23E-25,5.17E-14
0.101,7.7,1.99E-12,6.30E-12,-1.54E-20,3.60E-14
0.101,7.85,2.09E-11,2.71E-11,-4.83E-19,1.53E-14
0.101,8,9.32E-14,6.64E-14,1.03E-20,5.67E-15
0.121,0.5,-3.86E-11,-6.60E-16,7.03E-12,0.032253429
0.121,0.65,3.57E-10,7.70E-15,-3.31E-09,0.03581027
0.121,0.8,1.74E-14,-7.82E-14,-3.04E-17,0.035771742
0.121,0.95,1.51E-10,6.35E-09,-7.06E-11,0.015958816
0.121,1.1,-4.22E-14,4.67E-12,5.28E-15,8.09E-10
0.121,1.25,-1.10E-12,-8.13E-12,-3.11E-15,-2.77E-12
0.121,1.4,-2.45E-16,2.03E-15,8.72E-24,-1.31E-16
0.121,1.55,4.97E-15,4.80E-14,4.53E-16,-9.41E-15
0.121,1.7,6.16E-15,6.03E-14,-4.18E-19,-7.96E-12
0.121,1.85,1.08E-12,-1.63E-12,-4.81E-19,-5.34E-14
0.121,2,3.59E-13,8.46E-13,1.78E-20,-3.16E-15
0.121,2.15,1.55E-13,5.37E-13,-1.30E-18,-2.00E-16
0.121,2.3,2.27E-12,4.74E-12,1.89E-21,4.97E-16
0.121,2.45,-1.95E-13,-7.18E-13,-9.97E-21,-8.28E-17
0.121,2.6,6.16E-13,1.18E-12,-6.41E-18,3.92E-17
0.121,2.75,9.77E-14,2.63E-13,-1.41E-17,1.54E-16
0.121,2.9,1.45E-13,4.20E-13,-3.25E-19,-2.48E-07
0.121,3.05,1.07E-12,2.50E-12,-1.11E-17,-1.27E-16
0.121,3.2,1.50E-12,1.41E-11,-2.08E-23,-1.07E-12
0.121,3.35,-9.52E-13,-2.82E-12,1.15E-18,-8.80E-18
0.121,3.5,2.76E-14,-5.55E-13,-8.96E-20,2.40E-13
0.121,3.65,2.94E-12,7.26E-12,-2.02E-17,-7.47E-16
0.121,3.8,5.06E-13,4.86E-13,-4.62E-18,-4.55E-17
0.121,3.95,2.37E-11,8.75E-11,-2.50E-16,-1.72E-15
0.121,4.1,-7.32E-14,-5.65E-13,1.89E-20,5.33E-14
0.121,4.25,2.88E-13,4.08E-13,-3.55E-19,-1.57E-18
0.121,4.4,4.21E-14,1.41E-13,6.22E-21,-3.81E-15
0.121,4.55,-3.28E-14,-1.13E-13,-8.06E-20,1.10E-15
0.121,4.7,1.97E-14,9.20E-15,3.77E-20,3.18E-17
0.121,4.85,4.40E-14,1.01E-13,2.71E-20,1.76E-19
0.121,5,-2.72E-15,-4.79E-14,1.08E-23,4.16E-15
0.121,5.15,-2.51E-12,-2.34E-12,8.74E-18,-9.48E-16
0.121,5.3,1.10E-14,3.00E-14,6.17E-19,5.68E-16
0.121,5.45,-3.91E-13,-8.80E-13,-8.84E-20,2.00E-15
0.121,5.6,2.02E-14,7.33E-14,-2.99E-19,-6.53E-19
0.121,5.75,5.80E-11,6.30E-11,-6.49E-17,-2.07E-07
0.121,5.9,-1.42E-15,-5.14E-14,5.23E-25,6.19E-15
0.121,6.05,1.49E-10,3.01E-10,8.76E-21,2.65E-18
0.121,6.2,4.15E-13,3.33E-15,-6.42E-12,1.72E-07
0.121,6.35,-1.70E-14,-3.70E-14,2.85E-24,1.21E-15
0.121,6.5,5.12E-16,-5.21E-12,-3.12E-22,2.39E-11
0.121,6.65,-1.19E-14,-1.96E-14,1.07E-23,4.09E-17
0.121,6.8,2.84E-12,2.88E-12,-1.59E-16,-2.52E-16
0.121,6.95,-1.41E-14,-2.65E-14,1.18E-24,7.86E-19
0.121,7.1,2.27E-14,3.05E-13,1.67E-23,-3.15E-14
0.121,7.25,5.26E-12,8.12E-12,-7.80E-20,6.51E-16
0.121,7.4,-1.48E-15,-1.24E-14,-3.28E-24,4.96E-16
0.121,7.55,4.10E-11,9.25E-11,-1.88E-18,-3.54E-13
0.121,7.7,-1.02E-13,-2.05E-13,2.57E-22,-5.29E-16
0.121,7.85,7.36E-13,1.58E-12,1.68E-19,6.33E-19
0.121,8,4.43E-11,7.40E-11,3.67E-17,-6.10E-16
0.141,0.5,5.14E-12,-9.38E-20,-4.94E-13,0.172576832
0.141,0.65,3.13E-12,-3.02E-18,6.85E-12,0.172576833
0.141,0.8,5.06E-14,-1.47E-13,2.81E-13,0.172576831
0.141,0.95,-1.31E-11,1.92E-07,1.80E-12,0.172575192
0.141,1.1,-2.36E-10,0.006276187,5.01E-11,0.079843448
0.141,1.25,1.34E-13,5.94E-12,-1.58E-14,3.67E-11
